Nombre,Metodo_deteccion,Radio,Periodo_orbital,Indice_similitud_tierra,Distancia_estrella,Distancia_tierra,Radio_estrella,Ascension_recta,Declinacion
11 Com b,Radial Velocity,12.082709,326.03,0.083813263,0.40626312883435584,93.37,19.0,12.345286,17.792868000000002
11 UMi b,Radial Velocity,12.229641,516.21997,0.082414476,0.47082699386503074,125.72,29.79,15.28497,71.823898
14 And b,Radial Velocity,12.848516,185.84,0.081917127,0.25460122699386506,75.59,11.0,23.521506,39.236198
14 Her b,Radial Velocity,12.865261,1773.4,0.14524062,0.960294018404908,17.94,0.93,16.173421,43.817646
16 Cyg B b,Radial Velocity,13.421749,798.5,0.36862709,0.6269300613496932,21.15,1.13,19.697771,50.517525
18 Del b,Radial Velocity,12.424038,993.3,0.21617437,0.8000981595092025,76.38,8.5,20.973872,10.839286000000001
1RXS J160929.1-210524 b,Imaging,12.56295,11.870525,0.2711924,101.22699386503068,145.0,0.97,16.158419,-20.916964
24 Boo b,Radial Velocity,13.823874,30.3506,0.065684936,0.05833361349693252,96.25,10.64,14.477171,49.844852
24 Sex b,Radial Velocity,13.35605,452.8,0.17730446,0.4105517484662577,72.21,4.9,10.391215,0.902244
24 Sex c,Radial Velocity,13.858291,883.0,0.2724776,0.6648662576687117,72.21,4.9,10.391215,0.902244
2MASS J01225093-2439505 b,Imaging,11.959259,11.870525,0.2711924,15.950920245398773,36.0,0.97,1.3808163,-23.335951
2MASS J02192210-3925225 b,Imaging,16.1424,11.870525,0.056530021,47.85276073619632,39.4,0.28,2.3228072,-38.577072
2MASS J04414489+2301513 b,Imaging,12.598676,11.870525,0.2711924,4.601226993865031,140.0,0.97,4.6958051,23.030941
2MASS J12073346-3932539 b,Imaging,12.952003,11.870525,0.2711924,14.110429447852761,64.42,0.97,12.125964,-38.451668000000005
2MASS J19383260+4603591 b,Eclipse Timing Variations,13.383276,416.0,0.2711924,0.28220858895705525,400.77,0.97,19.642392,46.066418
2MASS J21402931+1625183 A b,Imaging,10.3132,7336.5,0.084157251,1.0094492331288345,25.0,0.12,21.674812,16.421759
2MASS J22362452+4751425 b,Imaging,12.318663,11.870525,0.2711924,70.5521472392638,74.0,0.97,22.606815,47.86182
30 Ari B b,Radial Velocity,12.26437,335.10001,0.30089651,0.31645076687116563,44.71,1.41,2.6160391,24.648063999999998
4 UMa b,Radial Velocity,12.629095,269.3,0.076992961,0.29177344785276077,73.58,18.11,8.6702275,64.327934
42 Dra b,Radial Velocity,12.969374,479.1,0.07908401,0.3913858895705522,90.86,22.03,18.433094,65.563484
47 UMa b,Radial Velocity,13.215704,1078.0,0.31106267,0.6445015950920245,13.8,1.23,10.991105,40.430256
47 UMa c,Radial Velocity,14.144978,2391.0,0.17714066,1.109597300613497,13.8,1.23,10.991105,40.430256
47 UMa d,Radial Velocity,13.470213,14002.0,0.079493064,3.603828220858896,13.8,1.23,10.991105,40.430256
51 Eri b,Imaging,0.0,11688.0,0.2711924,4.053680981595092,29.4,0.97,4.6267036,-1.526452
51 Peg b,Radial Velocity,14.228992,4.230785,0.065394653,0.016167010122699388,15.47,1.2,22.957773,20.768833
55 Cnc b,Radial Velocity,13.879517,14.65152,0.088599759,0.03534591104294479,12.59,0.94,8.8766149,28.330818
55 Cnc c,Radial Velocity,8.5133162,44.4175,0.19669217,0.07405652760736196,12.59,0.94,8.8766149,28.330818
55 Cnc d,Radial Velocity,12.969667,4825.0,0.08875056,1.6883415030674849,12.59,0.94,8.8766149,28.330818
55 Cnc e,Radial Velocity,1.9057,0.736539,0.2598972,0.004736196319018405,12.59,0.94,8.8766149,28.330818
55 Cnc f,Radial Velocity,7.5885086,262.0,0.45748768,0.2529606901840491,12.59,0.94,8.8766149,28.330818
6 Lyn b,Radial Velocity,13.350175,934.3,0.28576359,0.6489638343558283,54.74,5.2,6.5130857,58.162632
61 Vir b,Radial Velocity,2.1061683,4.215,0.25355145,0.015509953067484665,8.51,0.96,13.306755,-17.688805
61 Vir c,Radial Velocity,4.4511957,38.021,0.22814035,0.06737162576687117,8.51,0.96,13.306755,-17.688805
61 Vir d,Radial Velocity,5.1078157,123.01,0.37195088,0.15495552147239267,8.51,0.96,13.306755,-17.688805
7 CMa b,Radial Velocity,13.232029,796.0,0.37834721,0.6063515337423313,19.82,2.3,6.6113997,-18.744122
70 Vir b,Radial Velocity,12.604921,116.688,0.14126541,0.15927897852760736,17.91,1.89,13.473837,13.778788
75 Cet b,Radial Velocity,13.116992,691.9,0.14524422,0.6485807975460123,83.15,10.5,2.5359503,-0.965104
8 UMi b,Radial Velocity,13.604033,93.4,0.070820113,0.15057730061349694,163.32,10.3,14.946766,74.900925
81 Cet b,Radial Velocity,12.792619,952.7,0.16929368,0.7831426380368098,101.53,11.0,2.628278,-2.603825
91 Aqr b,Radial Velocity,13.079797,181.4,0.078414548,0.21480219325153377,44.08,11.0,23.264861,-8.912263
AB Pic b,Imaging,12.277019,11.870525,0.2711924,79.75460122699387,50.12,0.97,6.3202538,-57.945690000000006
BD+03 2562 b,Radial Velocity,12.686905,481.9,0.076881824,0.40674846625766875,2618.0,32.35,11.837654,2.760142
BD+14 4559 b,Radial Velocity,13.742892,268.94,0.3690268,0.2493248466257669,49.42,0.86,21.226665,14.689387
BD+15 2375 b,Radial Velocity,13.730809,153.22,0.075857,0.1766872055214724,774.0,8.95,11.765479,14.616381
BD+15 2940 b,Radial Velocity,13.703559,137.48,0.068451851,0.17092582822085892,431.61,14.7,16.006372,15.54693
BD+20 2457 b,Radial Velocity,11.535801,379.63,0.077113291,0.3257093558282209,1670.85,71.02,10.279128,19.891409
BD+20 2457 c,Radial Velocity,12.319965,621.99,0.074902725,0.6265527607361965,1670.85,71.02,10.279128,19.891409
BD+20 274 b,Radial Velocity,12.924229,578.2,0.087983596,0.40756595092024545,1383.85,17.3,1.7280217,21.005314
BD+20 594 b,Transit,2.5783,41.6855,0.30796205,0.08560927300613497,180.39,1.08,3.5767313,20.599231999999997
BD+48 738 b,Radial Velocity,13.823874,392.6,0.089639787,0.3128834355828221,892.17,11.0,2.7140151,49.586960000000005
BD+48 740 b,Radial Velocity,13.448934,733.0,0.11328601,0.6720736196319019,678.94,10.33,2.7161714,48.930060999999995
BD+49 828 b,Radial Velocity,13.484857,2590.0,0.35395377,1.367254601226994,447.59,7.6,3.0427021,49.730011000000005
BD-06 1339 b,Radial Velocity,2.8664188,3.8728,0.23577592,0.013128834355828222,20.28,0.59026756,5.8834125,-4.005156
BD-06 1339 c,Radial Velocity,8.47229,125.94,0.41593589,0.1398471625766871,20.28,0.59026756,5.8834125,-4.005156
BD-08 2823 b,Radial Velocity,3.6130979,5.6,0.20503107,0.01861196319018405,41.38,0.71,10.013256,-8.483319999999999
BD-08 2823 c,Radial Velocity,12.521925,237.6,0.36057653,0.21235398773006134,41.38,0.71,10.013256,-8.483319999999999
BD-10 3166 b,Radial Velocity,14.089972,3.48777,0.06663348,0.012272392638036811,84.61,0.91,10.974667,-9.229624
BD-11 4672 b,Radial Velocity,14.156616,1667.0,0.083110123,0.700260736196319,27.3,0.52,18.558011,-10.363961
BD-13 2130 b,Radial Velocity,12.45239,714.29999,0.091453244,0.5204303680981596,948.75,19.17,7.6192309,-12.093361
BD-17 63 b,Radial Velocity,13.146629,655.59998,0.20149258,0.47097300613496934,34.49,0.74,0.47619616,-15.773655
CFBDSIR J145829+101343 b,Imaging,12.413529,10037.5,0.071553799,0.7975460122699387,23.1,0.10209745,14.974723,10.228611
