,P_NAME,P_STATUS,P_DETECTION,P_MASS,P_RADIUS,P_PERIOD,P_ECCENTRICITY,P_FLUX,P_ESI,P_DISTANCE,S_DISTANCE,S_MASS,S_RADIUS_EST,S_TYPE,S_CONSTELLATION,S_RA_H,S_DEC_T,P_HABZONE_CON
0,11 Com b,3.0,Radial Velocity,6165.8633,,326.03,0.231,101.01141,0.083813263,1.3244178,28.64110429447853,2.7,19.0,K0 III,Coma Berenices,12.345286,17.792868000000002,0
1,11 UMi b,3.0,Radial Velocity,4684.7848,,516.21997,0.08,107.35118,0.082414476,1.534896,38.564417177914116,2.78,29.79,K4 III,Ursa Minor,15.28497,71.823898,0
2,14 And b,3.0,Radial Velocity,1525.5744,,185.84,0.0,84.446427,0.081917127,0.83,23.18711656441718,2.2,11.0,G8 III,Andromeda,23.521506,39.236198,0
3,14 Her b,3.0,Radial Velocity,1481.0785,,1773.4,0.37,0.078886561,0.14524062,3.1305585,5.503067484662577,0.9,0.93,K0 V,Hercules,16.173421,43.817646,0
4,16 Cyg B b,3.0,Radial Velocity,565.73385,,798.5,0.68,0.61897215,0.36862709,2.043792,6.487730061349693,1.08,1.13,G2.5 V,Cygnus,19.697771,50.517525,1
5,18 Del b,3.0,Radial Velocity,3273.6284,,993.3,0.08,5.9039479,0.21617437,2.60832,23.429447852760735,2.3,8.5,G6 III,Delphinus,20.973872,10.839286000000001,0
6,1RXS J160929.1-210524 b,3.0,Imaging,2542.624,,,,,,330.0,44.47852760736197,0.85,,K7 V,Scorpius,16.158419,-20.916964,0
7,24 Boo b,3.0,Radial Velocity,289.22348,,30.3506,0.042,1611.9403,0.065684936,0.19016758,29.524539877300615,0.99,10.64,G3 IV,Bootes,14.477171,49.844852,0
8,24 Sex b,3.0,Radial Velocity,632.47773,,452.8,0.09,8.2108078,0.17730446,1.3383987,22.150306748466257,1.54,4.9,K0 IV,Sextans,10.391215,0.902244,0
9,24 Sex c,3.0,Radial Velocity,273.33208,,883.0,0.29,3.5093722,0.2724776,2.167464,22.150306748466257,1.54,4.9,K0 IV,Sextans,10.391215,0.902244,0
